Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key,Simplified_Indication
alpelisib,Vijoice,11/18/19,Treatment of PIK3CA-related overgrowth spectrum,Designated/Approved,,,treatment of adult and pediatric patients 2 years of age and older with severe manifestations of PIK3CA-Related Overgrowth Spectrum (PROS) who require systemic therapy,4/24/24,,,Novartis Pharmaceuticals Corporation,One Health Plaza,,East Hanover,New Jersey,07936 ',United States,710819,For adult and pediatric patients 2 years of age and older with severe manifestations of PIK3CA-Related Overgrowth Spectrum (PROS) who require systemic therapy
Alpha1-proteinase inhibitor (human),Prolastin,12/7/84,For replacement therapy in the alpha-1-proteinase inhibitor congenital deficiency state.,Designated/Approved,,,For chronic replacement therapy of individuals having congenital deficiency of alpha1- proteinase inhibitor with clinically demonstrable panacinar emphysema.,12/2/87,12/2/94,,Bayer Corporation,"Pharmaceutical Division, Biological Products",400 Morgan Lane,New Haven,Connecticut,06516 ',United States,3084,For chronic replacement therapy of individuals having congenital deficiency of alpha1- proteinase inhibitor with clinically demonstrable panacinar emphysema.
Altretamine,Hexalen,2/9/84,Treatment of advanced adenocarcinoma of the ovary.,Designated/Approved,,,Single agent palliative treatment of patients with persistent or recurrent ovarian cancer following first-line therapy with a cisplatin and/or alkylating agent based combination.,12/26/90,12/26/97,,"Medimmune Oncology, Inc.",One Tower Bridge,"100 Front Street, Suite 400",West Conshohocken,Pennsylvania,19428 ',United States,983,Single agent palliative For patients with persistent or recurrent ovarian cancer following first-line therapy with a cisplatin and/or alkylating agent based combination.
Amantadine hydrochloride,Gocovri,4/9/15,Treatment of levodopa-induced dyskinesia,Designated/Approved,,,treatment of dyskinesia in patients with Parkinson's disease receiving levodopa-based therapy with or without concomitant dopminergic medications,8/24/17,8/24/24,treatment of dyskinesia in patients with Parkinson's disease receiving levodopa-based therapy with or without concomitant dopminergic medications,"Adamas Pharmaceuticals, Inc.",1900 Powell Street,Suite 750,Emeryville,California,94608 ',United States,413213,For dyskinesia in patients with Parkinson's disease receiving levodopa-based therapy with or without concomitant dopminergic medications
ambrisentan,Letairis,7/16/04,Treatment of pulmonary arterial hypertension,Designated/Approved,,,Treatment of pulmonary arterial hypertension (WHO group I) in patients with WHO class II or III symptoms to improve exercise capacity and delay clinical worsening,6/15/07,6/15/14,,Gilead Colorado,7575 West 103rd Avenue,Suite 102,Westminister,Colorado,80021 ',United States,183604,For pulmonary arterial hypertension (WHO group I) in patients with WHO class II or III symptoms to improve exercise capacity and delay clinical worsening
amifampridine,Firdapse,11/12/09,Treatment of Lambert-Eaton Myasthenic Syndrome,Designated/Approved,,,Treatment of Lambert-Eaton myasthenic syndrome (LEMS) in adults and pediatric patients 6 years of age and older,9/29/22,,,"Catalyst Pharmaceuticals, Inc.",355 Alhambra Circle,Suite 1250,Coral Gables,Florida,33134 ',United States,295309,For Lambert-Eaton myasthenic syndrome (LEMS) in adults and pediatric patients 6 years of age and older
amifampridine,Firdapse,11/12/09,Treatment of Lambert-Eaton Myasthenic Syndrome,Designated/Approved,,,Treatment of Lambert-Eaton myasthenic syndrome (LEMS) in adults,11/28/18,11/28/25,Treatment of Lambert-Eaton myasthenic syndrome (LEMS),"Catalyst Pharmaceuticals, Inc.",355 Alhambra Circle,Suite 1250,Coral Gables,Florida,33134 ',United States,295309,For Lambert-Eaton myasthenic syndrome (LEMS) in adults
Amifostine,Ethyol,5/30/90,For use as a chemoprotective agent for cisplatin in the treatment of advanced ovarian carcinoma.,Designated/Approved,,,To reduce the cumulative renal toxicity associated with repeated administration of cisplatin in patients with advanced ovarian cancer.,12/8/95,12/8/02,,"Medimmune Oncology, Inc.",One Tower Bridge,"100 Front Street, Suite 400",West Conshohocken,Pennsylvania,19428 ',United States,42789,To reduce the cumulative renal toxicity associated with repeated administration of cisplatin in patients with advanced ovarian cancer.
Amifostine,Ethyol,5/12/98,Reduction of the incidence of moderate to severe xerostomia in patients undergoing post-operative radiation treatment for head and neck cancer.,Designated/Approved,,,"Reduction of the incidence of moderate to severe xerostomia in patients undergoing post-operative radiation treatment for head and neck cancer, where the radiation port includes a substantial portion of the parotid glands.",6/24/99,6/24/06,,"Medimmune Oncology, Inc.",One Tower Bridge,"100 Front Street, Suite 400",West Conshohocken,Pennsylvania,19428 ',United States,111698,"Reduction of the incidence of moderate to severe xerostomia in patients undergoing post-operative radiation treatment for head and neck cancer, where the radiation port includes a substantial portion of the parotid glands."
Aminosalicylic acid,Paser Granules,2/19/92,Treatment of tuberculosis infections,Designated/Approved,,,Treatment of tuberculosis,6/30/94,6/30/01,,Jacobus Pharmaceutical Company,37 Cleveland Lane,P.O. Box 5290,Princeton,New Jersey,08540 ',United States,65792,For tuberculosis
Amiodarone HCl,Cordarone,3/16/94,For the acute treatment and prophylaxis of life-threatening ventricular tachycardia or ventricular fibrillation.,Designated/Approved,,,For initiation of treatment and prophylaxis of frequently recurring ventricular fibrillation and hemodynamically unstable ventricular tachycardia in patients refractory to other therapy.,8/3/95,8/3/02,,Wyeth-Ayerst Laboratories,P.O. Box 8299,,Philadelphia,Pennsylvania,19101 ',United States,77293,For initiation of treatment and For prophylaxis of frequently recurring ventricular fibrillation and hemodynamically unstable ventricular tachycardia in patients refractory to other therapy.
Amphotericin B lipid complex,Abelcet,12/5/91,Treatment of invasive fungal infections.,Designated/Approved,,,Treatment of invasive fungal infections in patients who are refractory to or intolerant of conventional amphotericin B therapy.,10/18/96,10/18/03,,"Liposome Company, Inc.",One Research Way,,Princeton,New Jersey,08540 ',United States,57891,For invasive fungal infections in patients who are refractory to or intolerant of conventional amphotericin B therapy.
anacaulase-bcdb,NexoBrid,8/20/03,"Debridement of acute, deep dermal burns in hospitalized patients",Designated/Approved,,,eschar removal in adults with deep partial thickness (DPT) and/or full thickness (FT) thermal burns,12/28/22,12/28/29,eschar removal in hospitalized adults with deep partial thickness (DPT) and/or full thickness (FT) thermal burns,Vericel Corporation,64 Sidney St.,,Cambridge,Massachusetts,02139 ',United States,156102,eschar removal in adults with deep partial thickness (DPT) and/or full thickness (FT) thermal burns
anacaulase-bcdb,NexoBrid,8/20/03,"Debridement of acute, deep dermal burns in hospitalized patients",Designated/Approved,,,eschar removal in adults and pediatric patients with deep partial thickness (DPT) and/or full thickness (FT) thermal burns,8/15/24,8/15/31,eschar removal in hospitalized pediatric patients with deep partial thickness (DPT) and/or full thickness (FT) thermal burns,Vericel Corporation,64 Sidney St.,,Cambridge,Massachusetts,02139 ',United States,156102,eschar removal in adults and pediatric patients with deep partial thickness (DPT) and/or full thickness (FT) thermal burns
Anagrelide,Agrylin,1/27/88,Treatment of essential thrombocythemia.,Designated/Approved,,,Treatment of patients with essential thrombocythemia to reduce the elevated platelet count and the risk of thrombosis and to ameliorate associated symptoms.,3/14/97,3/14/04,,"Takeda Development Center Americas, Inc.",500 Kendall Street,,Cambridge,Massachusetts,02142 ',United States,20887,For patients with essential thrombocythemia to reduce the elevated platelet count and the risk of thrombosis and to ameliorate associated symptoms.
anakinra,Kineret,6/29/20,Treatment of Deficiency of IL-1 Receptor Antagonist,Designated/Approved,,,treatment of Deficiency of Interleukin-1 Receptor Antagonist (DIRA),12/18/20,12/18/27,treatment of Deficiency of Interleukin-1 Receptor Antagonist (DIRA),Swedish Orphan Biovitrum AB (PUBL),Tomtebodav䧥n 23A,,Stockholm,,',Sweden,745420,For Deficiency of Interleukin-1 Receptor Antagonist (DIRA)
anakinra,Kineret,8/19/10,Treatment of cryopyrin-associated periodic syndromes,Designated/Approved,,,Treatment of neonatal-onset multisystem inflammatory disease (NOMID),12/21/12,12/21/19,,Swedish Orphan Biovitrum AB (publ),SE-011276,,Stockholm,,',Sweden,312110,For neonatal-onset multisystem inflammatory disease (NOMID)
ansuvimab-zykl,EBANGA,5/8/19,Treatment of Ebola Virus Disease,Designated/Approved,,,"treatment of infection caused by Zaire ebolavirus in adult and pediatric patients, including neonates born to a mother who is RT-PCR positive for Zaire ebolavirus infection",12/21/20,12/21/27,"treatment of infection caused by Zaire ebolavirus in adult and pediatric patients, including neonates born to a mother who is RT-PCR positive for Zaire ebolavirus infection",Emergent Manufacturing Operations Baltimore LLC,5901 East Lombard Street,,Baltimore,Maryland,21224 ',United States,683019,"For infection caused by Zaire ebolavirus in adult and pediatric patients, including neonates born to a mother who is RT-PCR positive for Zaire ebolavirus infection"
anthrax immune globulin (human),,7/29/08,Treatment of inhalational anthrax,Designated/Approved,,,Treatment of inhalational anthrax in adult and pediatric patients in combination with appropriate antibacterial drugs,3/24/15,3/24/22,Treatment of inhalational anthrax in adult and pediatric patients in combination with appropriate antibacterial drugs,Cangene Corp. - Emergent Biosolutions,155 Innovation Drive,R3T 5Y3,"Winnipeg, MB",,',Canada,263008,For inhalational anthrax in adult and pediatric patients In combination with appropriate antibacterial drugs
Anthrax Vaccine Adsorbed,BioThrax,4/11/14,For post-exposure prophylaxis of anthrax disease resulting from suspected or confirmed Bacillus anthracis exposure,Designated/Approved,,,"For post-exposure prophylaxis of disease following suspected or confirmed Bacillus anthracis exposure, when administered in conjunction with recommended antibacterial drugs.",11/23/15,11/23/22,"For post-exposure prophylaxis of disease following suspected or confirmed Bacillus anthracis exposure, when administered in conjunction with recommended antibacterial drugs.",Emergent BioDefense Operations Lansing LLC,300 Proessional Drive,,Gaithersburg,Maryland,20879 ',United States,424914,"For post-exposure For prophylaxis of disease following suspected or confirmed Bacillus anthracis exposure, when administered in conjunction with recommended antibacterial drugs."
"Anthrax Vaccine Adsorbed, Adjuvanted",Cyfendus,8/19/21,Post-exposure prophylaxis of anthrax disease resulting from suspected or confirmed Bacillus anthracis exposure,Designated/Approved,,,post-exposure prophylaxis of disease following suspected or confirmed exposure to Bacillus anthracis in persons 18 through 65 years of age when administered in conjunction with recommended antibacterial drugs,7/20/23,,,"Emergent Product Development Gaithersburg, Inc.",300 Professional Drive,,Gaitherburg,Maryland,20879 ',United States,832521,post-exposure For prophylaxis of disease following suspected or confirmed exposure to Bacillus anthracis in persons 18 through 65 years of age when administered in conjunction with recommended antibacterial drugs
anti-inhibitor coagulant complex,FEIBA,4/12/13,Routine prophylaxis to prevent or reduce the frequency of bleeding episodes in hemophilia A and B patients with inhibitors,Designated/Approved,,,Routine prophylaxis to prevent or reduce the frequency of bleeding episodes in hemophilia A and B patients with inhibitors,12/16/13,12/16/20,Routine prophylaxis to prevent or reduce the frequency of bleeding episodes in hemophilia A and B patients with inhibitors,"Takeda Pharmaceuticals U.S.A., Inc.",500 Kendall Street,,Cambridge,Massachusetts,02142 ',United States,393913,Routine prophylaxis to prevent or reduce the frequency of bleeding episodes in hemophilia A and B patients with inhibitors
